"","fish","agei","A1","A2","A3","A4","A6"
"163",42,3,213.802770921076,215.945333724175,215.492748575754,214.474677682217,211.709350080995
"164",42,4,212.182559044086,213.590983309201,213.190774080714,212.364645658862,210.824664340262
"165",42,5,210.15729419785,210.648045290482,210.593674650412,210.539753098123,209.497635729162
"166",42,6,209,209,209,209,209
"167",43,1,182.467937818766,182.660548092105,182.539989728134,178.127091191803,182.65630358314
"168",43,2,174.131806311952,174.344858416859,174.536448465073,173.360848957285,175.025871920281
"169",43,3,171,171,171,171,171
"170",44,1,199.843332611934,202.003248103275,201.022993448243,198.316195712516,200.899871745317
"171",44,2,193.896031386894,194.534849114862,194.304782542403,193.183259309215,194.009578805047
"172",44,3,190.512222069198,190.593194093199,190.428891635188,189.962593330674,190.124075267301
"173",44,4,188,188,188,188,188
"174",45,1,203.869239138639,202.467659083335,204.470442661633,200.129356557524,203.47068324534
"175",45,2,195.376583350792,194.839849647814,196.104034914759,193.941681557424,194.314991748761
"176",45,3,191,191,191,191,191
"177",46,1,210.201763229888,213.535879735478,211.74164179847,208.166156168662,205.193482024072
"178",46,2,201.990910489348,204.391866769171,202.636510099415,201.822940692568,200.370736275726
"179",46,3,198.55630542141,199.518710158384,198.842705224809,198.572698051924,197.674147255145
"180",46,4,197,197,197,197,197
"181",47,1,203.978684267534,206.109373445165,204.917876106991,202.523967428654,NA
"182",47,2,198.180118941742,199.917497006958,198.479634839763,197.361025753985,NA
"183",47,3,192.588645234728,192.781097044279,192.407797547093,192.146965844912,NA
"184",47,4,190,190,190,190,NA
"185",48,1,191.015382504815,188.938442772262,191.466178380575,189.9279054016,190.919494551088
"186",48,2,183.674009892062,184.491001942019,184.961497424423,185.223955243768,184.388342198144
"187",48,3,181.826512148456,182.147726665869,182.418313892695,182.295986267974,182.031234582044
"188",48,4,181,181,181,181,181
"189",49,1,193.562285070091,193.48147417342,193.201154079999,189.16183302401,190.943913345281
"190",49,2,186.335856901284,186.392911857656,186.331112910933,184.482768781657,185.079052135261
"191",49,3,182,182,182,182,182
"192",50,1,231.765478414346,229.318355762519,229.637205400188,227.457675685614,231.206924870683
"193",50,2,221.706297849878,220.61639370733,220.488715050545,219.787746040131,220.603462435342
"194",50,3,215.529608029591,215.047137992009,214.253756659388,214.865253879597,214.182476849496
"195",50,4,212.294199076107,213.016680179132,212.563908123467,212.861914046822,212.415233110272
